rating,team,position,salary,country,draft_round,age,experience,bmi
97,Los Angeles Lakers,F,37436858.0,USA,1,36,17,26.722594023941937
97,Los Angeles Clippers,F,32742000.0,USA,1,29,9,25.261750946758752
96,Milwaukee Bucks,F-G,25842697.0,Not-USA,1,26,7,24.6557804182296
96,Brooklyn Nets,F,37199000.0,USA,1,32,13,24.1147374260355
96,Houston Rockets,G,38199000.0,USA,1,31,11,25.976155768429823
95,Golden State Warriors,G,40231758.0,USA,1,32,11,23.001014226583703
94,Los Angeles Lakers,F-C,27093019.0,USA,1,27,8,23.27570266272189
93,Los Angeles Clippers,F,33005556.0,USA,1,30,10,23.113882889660033
92,Portland Trail Blazers,G,29802321.0,USA,1,30,8,25.025464010864646
91,Philadelphia 76ers,C,27504630.0,Not-USA,1,26,6,24.995040666534422
91,Brooklyn Nets,G,31742000.0,Not-USA,1,28,9,23.10151652331372
90,Denver Nuggets,C,27504630.0,Not-USA,2,25,6,25.294804822676284
90,Houston Rockets,G,38506482.0,USA,1,32,12,23.623255941448974
89,Golden State Warriors,G,32742000.0,USA,1,30,9,23.719518416488114
89,Minnesota Timberwolves,F-C,27285000.0,USA,1,25,5,25.266728060915074
88,Miami Heat,G,32742000.0,USA,1,31,9,24.699883666245892
88,Utah Jazz,C,25258427.0,Not-USA,1,28,7,23.137431412894376
88,Detroit Pistons,F,34449964.0,USA,1,31,11,26.937034593269868
88,Utah Jazz,G,3635760.0,USA,1,24,3,27.96493791088385
88,Boston Celtics,G,32742000.0,USA,1,30,9,23.297202066350142
87,Dallas Mavericks,G-F,7683360.0,Not-USA,1,21,2,25.486992896215448
87,San Antonio Spurs,F-C,26000000.0,USA,1,35,14,25.062330136340154
87,Washington Wizards,G,27093018.0,USA,1,27,8,25.736684849647762
87,Utah Jazz,G,32511623.0,USA,1,33,13,24.51716581446311
87,San Antonio Spurs,G-F,27739975.0,USA,1,31,11,25.454035302520154
87,Portland Trail Blazers,G,27556959.0,USA,1,29,7,24.49494257284614
87,Indiana Pacers,G,21000000.0,USA,1,28,7,25.938951381245136
87,Dallas Mavericks,F-C,27285000.0,Not-USA,1,25,5,20.431604594500524
87,Minnesota Timberwolves,G,27285000.0,USA,1,24,5,23.50130204837714
87,Toronto Raptors,F,2351838.0,Not-USA,1,26,4,24.26477519087567
87,Philadelphia 76ers,F,8113929.0,Not-USA,1,24,4,25.161797337278102
86,Sacramento Kings,G,6392760.0,USA,1,23,3,21.260382116718294
86,Phoenix Suns,G,27285000.0,USA,1,24,5,24.32319866722199
86,No Team,C,3500000.0,USA,1,30,10,28.307599852071004
86,Cleveland Cavaliers,C,27093018.0,USA,1,27,8,28.307599852071004
86,Golden State Warriors,F,18539130.0,USA,2,30,8,26.61208039995919
86,New Orleans Pelicans,G,26131111.0,USA,1,30,11,22.381513664647354
86,Orlando Magic,C,28000000.0,Not-USA,1,30,9,24.45138249365468
86,Washington Wizards,G,38199000.0,USA,1,30,10,23.745603908829768
85,Boston Celtics,F,7830000.0,USA,1,22,3,22.453832900579975
85,Atlanta Hawks,G,6273000.0,USA,1,22,2,23.85682980277575
85,Milwaukee Bucks,G,15625000.0,USA,1,31,10,25.843681519357194
85,Atlanta Hawks,C,16896552.0,Not-USA,1,26,6,22.122318786982245
85,Philadelphia 76ers,F,32742000.0,USA,1,28,9,24.875633963454593
85,Philadelphia 76ers,C-F,28000000.0,Not-USA,1,34,13,26.29371288528608
85,Chicago Bulls,G,19500000.0,USA,1,25,6,20.941740638710336
85,Toronto Raptors,G,33296296.0,USA,1,34,14,27.76732658484875
85,Milwaukee Bucks,F,30603448.0,USA,2,29,8,24.36325833518973
85,Oklahoma City Thunder,G,38506482.0,USA,1,35,15,23.193571950328703
84,Atlanta Hawks,F,2686560.0,USA,1,23,3,24.050334621547744
84,Sacramento Kings,G,4861207.0,Not-USA,1,27,4,25.815458133104244
84,Los Angeles Lakers,F,1974600.0,USA,1,25,3,24.324783421097337
84,Denver Nuggets,G,4444746.0,Not-USA,1,23,4,24.475824854358507
84,Los Angeles Clippers,G,8000000.0,USA,2,34,15,23.193571950328703
83,Sacramento Kings,F,8556120.0,USA,1,21,2,23.941510747737023
83,Utah Jazz,G-F,17000000.0,Not-USA,2,31,9,23.776359533111705
83,Indiana Pacers,G,20000000.0,USA,2,28,4,26.330174927113706
83,Oklahoma City Thunder,F,22615559.0,Not-USA,1,32,12,23.590051775147927
83,Los Angeles Clippers,F,6000000.0,USA,2,26,5,28.40523749412144
83,Cleveland Cavaliers,F,28942830.0,USA,1,32,12,28.61753500448932
83,Chicago Bulls,F-C,5300400.0,Not-USA,1,23,3,23.994357380590273
83,Portland Trail Blazers,C,12000000.0,Not-USA,1,26,6,28.993365513897157
83,New York Knicks,F,18000000.0,USA,1,26,6,27.51826057414643
82,Toronto Raptors,C,25595700.0,Not-USA,2,35,13,26.998495092203683
82,Oklahoma City Thunder,C,25842697.0,Not-USA,1,27,7,25.98099773140765
82,Phoenix Suns,C,9562920.0,Not-USA,1,22,2,25.471125985489998
82,Brooklyn Nets,G,10605600.0,USA,2,27,6,24.20605997501041
82,Memphis Grizzlies,F-C,6699960.0,USA,1,21,2,24.6557804182296
82,Denver Nuggets,F-C,30350000.0,USA,2,35,3,28.06861216306528
82,Boston Celtics,G,12553571.0,USA,1,26,6,28.225651709108853
82,Indiana Pacers,F-C,18000000.0,USA,1,24,5,24.350306596886863
